student_id,age,gender,class_10_marks,class_12_marks,preferred_subjects,interests,skills,extracurriculars,career_engineer,career_artist,career_teacher,career_scientist,career_writer,career_entrepreneur,career_lawyer,career_doctor,career_designer,career_marketer,career_journalist,career_psychologist,career_photographer,career_developer,career_researcher
23,18,Other,60.21,69.36,Political Science,Education,"CSS, Photoshop, Sewing, Public Speaking, Instrument",Media Club,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
24,22,Male,70.39,90.69,History,Education,"HTML, C++, Photography",Psych Club,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
25,18,Male,78.44,56.84,Political Science,Media,"C++, Rhythm",Photography Club,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
26,19,Female,78.24,73.38,History,Media,"Machine Learning, Python, Writing",Newspaper,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1
27,25,Male,68.23,85.34,History,Medicine,"Java, Machine Learning, Sketching, CAD, Writing",Peer Counseling,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1
28,23,Female,85.31,89.18,Math,Finance,"Machine Learning, Creativity, Voice Modulation, Public Speaking, Acting, Photography",Photo Walk,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
29,17,Male,66.61,74.29,Biology,Arts,"CSS, Statistics, Communication",Newspaper,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1
30,21,Female,78.31,89.71,Math,Law,"Machine Learning, Voice Modulation, Dancing, Instrument",Peer Counseling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,20,Male,70.21,75.77,Psychology,Education,"Machine Learning, CAD, Communication, Voice Modulation",Newspaper,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1
32,18,Female,63.94,63.65,Math,Psychology,"Statistics, Sketching, Communication",Peer Counseling,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
33,17,Other,83.13,94.27,Political Science,Education,"Statistics, Python, Sketching, Voice Modulation, Public Speaking, Rhythm, Singing",Photo Walk,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
34,18,Female,74.28,90.04,Psychology,Medicine,"CAD, Sketching, Public Speaking, Communication, Photography, Singing",Newspaper,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0
35,23,Other,78.62,70.26,Political Science,Medicine,"Python, CSS, Machine Learning, Creativity, Sketching, Writing, Rhythm, Photography",Newspaper,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1
36,22,Other,78.61,96.46,Biology,Medicine,"C++, HTML, Statistics, Creativity, Sewing, Voice Modulation, Dancing, Instrument",Photography Club,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1
37,21,Female,74.64,96.78,Math,Medicine,"HTML, Sewing, Sketching, Voice Modulation, Dancing",Photography Club,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
38,20,Other,48.8,87.86,Computer Science,Arts,"CSS, Machine Learning, Sewing, Sketching",Media Club,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
39,21,Male,75.87,74.41,Political Science,Arts,"Writing, Acting",Newspaper,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
40,20,Other,75.92,54.15,Physics,Psychology,"Java, Photoshop, Sewing, Communication",Coding Club,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
41,25,Female,72.8,82.29,Math,Media,"Creativity, Public Speaking, Photography",Peer Counseling,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
42,25,Female,89.78,71.78,Computer Science,Arts,"C++, Java, Statistics, CAD, Creativity, Voice Modulation",Science Fair,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
43,21,Male,66.92,71.98,History,Law,,Photo Walk,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
44,23,Other,84.15,81.95,Psychology,Technology,"HTML, C++, CSS, CAD",Media Club,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
45,23,Female,69.7,84.16,Math,Education,"Sketching, Voice Modulation, Dancing, Photography",Science Fair,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
46,20,Female,75.97,89.62,Political Science,Medicine,"Python, HTML, C++, CAD, Creativity, Communication, Photography, Singing",Coding Club,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0
47,23,Other,67.98,74.07,Math,Economics,"Statistics, Creativity, Acting",Coding Club,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
48,22,Male,71.08,60.44,Computer Science,Law,"C++, HTML, Statistics, Writing, Photography, Singing",Photo Walk,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
49,22,Male,77.96,81.13,Biology,Finance,"Java, Communication, Writing",Newspaper,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0
50,24,Other,75.05,75.18,Biology,Technology,"Statistics, C++, Writing, Voice Modulation, Singing",Science Fair,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
51,17,Female,60.85,72.95,Physics,Education,"Creativity, Photoshop, Public Speaking, Voice Modulation, Singing, Photography",Peer Counseling,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
52,17,Female,71.57,68.37,Physics,Law,"Python, HTML, Photoshop, Public Speaking, Acting, Instrument",Media Club,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
53,23,Male,73.39,82.85,History,Media,"HTML, Machine Learning, CSS, Sketching",Science Fair,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
54,21,Female,93.86,80.09,Political Science,Psychology,"Python, HTML, Creativity, Communication, Rhythm",Coding Club,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
55,22,Female,77.58,77.11,History,Media,"Python, Voice Modulation, Communication, Instrument, Acting",Newspaper,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
56,24,Female,55.81,77.68,Math,Economics,"HTML, Creativity, Sketching, Public Speaking, Communication, Photography, Rhythm",Photography Club,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
57,23,Other,75.6,107.56,English,Law,"C++, Statistics, Instrument, Rhythm",Science Fair,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
58,18,Other,73.08,81.62,Psychology,Technology,"C++, Machine Learning, CSS, Sewing, Sketching",Peer Counseling,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
59,21,Male,74.65,63.98,English,Arts,"Sewing, Creativity, Writing",Photography Club,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
60,25,Female,86.43,87.02,Psychology,Psychology,"Sketching, CAD, Voice Modulation, Instrument",Media Club,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
61,17,Female,82.91,67.09,Computer Science,Economics,"HTML, Python, CSS, Photoshop, Creativity, Rhythm, Singing",Media Club,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
62,20,Male,89.03,61.18,Physics,Technology,"HTML, C++, CSS, Sketching, Writing, Public Speaking, Singing, Instrument",Coding Club,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
63,20,Female,80.87,104.29,Biology,Arts,CSS,Peer Counseling,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,23,Female,65.09,71.2,Computer Science,Medicine,"C++, Sketching, CAD, Instrument, Rhythm",Newspaper,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
65,20,Female,76.0,71.96,Biology,Media,C++,Peer Counseling,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,19,Female,59.49,78.82,History,Psychology,"Machine Learning, C++, HTML, Sewing, Voice Modulation, Communication",Media Club,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1
67,17,Female,64.38,83.68,English,Medicine,"Writing, Public Speaking, Photography",Newspaper,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
68,17,Male,65.81,96.6,Computer Science,Media,"Java, CSS, CAD, Rhythm",Science Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
69,23,Female,67.17,74.14,English,Economics,"HTML, Machine Learning, Sketching, Voice Modulation, Public Speaking",Psych Club,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
70,24,Male,83.14,63.23,English,Medicine,"Sewing, Photography, Acting",Photo Walk,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
71,23,Male,77.27,93.69,Political Science,Media,"Machine Learning, HTML, Python, Communication, Acting",Photo Walk,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
72,24,Male,58.93,80.22,Math,Technology,"CSS, Python, CAD, Photoshop",Psych Club,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
73,24,Male,77.6,87.38,Psychology,Psychology,"HTML, Statistics, Creativity, Communication, Instrument",Photography Club,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
74,25,Other,62.63,62.15,Psychology,Economics,"C++, CSS, Statistics, Public Speaking, Photography, Acting",Photography Club,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1
75,19,Female,80.22,81.56,Computer Science,Law,"HTML, C++, Java, Creativity, CAD, Singing",Photo Walk,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
76,22,Other,77.5,82.16,Computer Science,Education,"HTML, Photography, Rhythm",Coding Club,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
77,18,Female,68.2,80.79,Biology,Media,"Creativity, CAD, Communication, Writing, Rhythm",Science Fair,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1
78,22,Other,77.93,69.43,Physics,Economics,"C++, Machine Learning, HTML, Photoshop, Sewing, Dancing, Rhythm",Photo Walk,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
79,20,Other,93.66,83.69,Biology,Education,"Creativity, Public Speaking, Writing",Media Club,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
80,22,Male,63.09,85.88,History,Law,"Java, Statistics, CSS, Sewing, Communication, Writing",Photo Walk,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1
81,18,Other,65.25,87.45,Physics,Technology,"Java, Sketching, Public Speaking, Singing, Acting",Science Fair,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
82,21,Other,86.59,68.15,Psychology,Economics,"CSS, C++, CAD, Sketching, Public Speaking",Science Fair,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1
83,23,Female,84.63,82.95,Biology,Technology,"CSS, C++, Sketching, Photoshop, Voice Modulation, Communication",Coding Club,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
84,17,Other,83.22,100.76,Computer Science,Medicine,"Java, Machine Learning, Public Speaking, Voice Modulation, Dancing, Instrument",Peer Counseling,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
85,18,Other,72.55,68.96,Math,Medicine,"Sketching, Creativity, Rhythm",Science Fair,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
86,23,Male,66.1,68.21,Political Science,Arts,"Statistics, Java, CAD, Public Speaking",Photo Walk,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
87,24,Male,74.23,82.09,Psychology,Technology,"Python, HTML, Writing, Rhythm",Coding Club,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
88,21,Other,77.77,87.93,Physics,Law,"HTML, Public Speaking, Voice Modulation",Media Club,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,18,Other,75.13,95.44,Computer Science,Medicine,,Coding Club,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,21,Female,72.35,110.64,Biology,Economics,"HTML, Sketching, Voice Modulation, Public Speaking, Dancing, Instrument",Peer Counseling,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
91,23,Other,81.26,67.71,Biology,Psychology,"Python, Machine Learning, Creativity, Voice Modulation",Coding Club,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
92,22,Male,64.29,83.79,English,Media,Sketching,Photo Walk,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
93,24,Male,72.77,86.57,Political Science,Finance,"Java, Statistics, Creativity, Photoshop, Communication, Public Speaking",Newspaper,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1
94,20,Female,79.73,77.13,Psychology,Finance,"Java, Sketching, Creativity, Singing, Instrument",Photography Club,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0
95,17,Female,66.53,59.82,Political Science,Law,"C++, Acting, Photography",Newspaper,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0
96,18,Other,70.53,88.28,Biology,Psychology,"CSS, Statistics, Communication, Singing, Photography",Science Fair,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
97,21,Female,77.14,63.05,Math,Finance,"HTML, Machine Learning, Python, CAD",Science Fair,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
98,22,Other,76.73,82.62,Psychology,Economics,"CSS, Machine Learning, Sewing, Sketching, Public Speaking, Photography",Psych Club,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1
99,23,Male,66.16,79.84,Biology,Media,"HTML, Java, Statistics, CAD, Voice Modulation, Singing, Rhythm",Peer Counseling,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
100,23,Female,75.58,64.28,History,Law,"Python, Statistics, Machine Learning, Writing, Dancing, Rhythm",Psych Club,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1
101,19,Other,78.58,84.73,Math,Media,"Sketching, Voice Modulation, Public Speaking",Photo Walk,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,21,Other,85.83,90.65,History,Law,"Java, CAD, Creativity, Photography",Media Club,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0
103,22,Male,61.22,66.75,History,Technology,"Sketching, Photoshop, Dancing",Coding Club,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
104,21,Female,80.15,84.17,English,Finance,"CSS, CAD, Photoshop, Dancing, Singing",Psych Club,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
105,18,Other,80.15,124.23,Political Science,Education,"C++, Java, Statistics, Sketching, Writing, Voice Modulation",Coding Club,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1
106,19,Other,80.71,91.63,Math,Economics,"Machine Learning, HTML, Statistics, CAD, Sewing, Communication, Singing, Rhythm",Photography Club,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
107,23,Male,84.54,85.82,History,Psychology,Writing,Photography Club,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
108,20,Female,71.85,87.11,Political Science,Arts,"C++, Python, Voice Modulation",Photography Club,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
109,19,Female,67.27,75.16,Political Science,Media,"Photoshop, Writing, Singing",Photo Walk,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
110,22,Other,70.15,78.98,Physics,Education,"Python, HTML, Communication, Acting, Rhythm",Coding Club,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
111,18,Female,98.15,55.59,Biology,Technology,"CSS, Python, HTML, Sketching, Instrument",Coding Club,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
112,18,Other,81.86,58.65,Biology,Media,"C++, Machine Learning, Creativity, Sewing",Peer Counseling,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
113,21,Male,70.28,91.07,Psychology,Arts,"Statistics, CAD, Sewing, Voice Modulation, Public Speaking, Dancing, Photography",Media Club,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1
114,22,Other,75.64,65.07,English,Arts,"CAD, Public Speaking, Communication, Singing, Rhythm",Science Fair,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
115,25,Male,67.85,86.16,History,Psychology,Public Speaking,Science Fair,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
116,18,Other,67.7,80.6,Physics,Psychology,"Statistics, CSS, Java, Sewing, Communication",Newspaper,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
117,24,Male,75.46,70.18,English,Economics,"Voice Modulation, Communication, Photography, Dancing",Psych Club,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
118,19,Female,96.44,85.61,English,Medicine,"Statistics, C++, CSS, Public Speaking, Writing, Singing",Coding Club,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
119,25,Other,54.75,80.24,Physics,Medicine,"C++, Communication, Voice Modulation, Dancing",Photography Club,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
120,23,Male,68.38,88.23,Biology,Medicine,"Statistics, Java, Sewing, Photoshop, Voice Modulation, Public Speaking, Singing",Coding Club,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
121,22,Female,67.07,76.62,Psychology,Technology,"Java, Statistics, Machine Learning, Singing",Photo Walk,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
122,25,Other,80.05,88.39,Math,Law,"Java, Statistics, Machine Learning, Sewing, Creativity, Voice Modulation, Writing, Rhythm",Psych Club,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1
123,20,Female,63.0,73.99,History,Psychology,"C++, Creativity, Voice Modulation, Rhythm",Peer Counseling,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
124,23,Other,70.25,70.16,Physics,Arts,"Statistics, Photoshop, Voice Modulation, Communication, Singing, Photography",Peer Counseling,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
125,18,Female,92.65,82.86,Biology,Arts,"CSS, Java, HTML, Rhythm",Photography Club,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
126,17,Female,62.39,89.01,Math,Education,"HTML, Communication",Photo Walk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
127,22,Male,96.22,90.39,English,Arts,"CAD, Communication, Public Speaking, Acting",Psych Club,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
128,17,Male,59.81,72.19,Math,Medicine,"CSS, Sewing, CAD, Instrument",Peer Counseling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,21,Male,87.67,69.51,Math,Technology,"Python, Statistics, HTML, Sewing, Photoshop, Communication, Public Speaking",Coding Club,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
130,21,Female,79.44,87.3,Math,Law,"Java, Machine Learning, Python, Sketching, Photoshop, Writing, Communication, Singing",Peer Counseling,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
131,23,Female,65.73,77.29,History,Finance,"Creativity, Writing, Public Speaking, Rhythm, Instrument",Photo Walk,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
132,17,Female,42.59,65.71,English,Arts,"Machine Learning, Java, Statistics, Voice Modulation, Writing, Instrument",Science Fair,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
133,17,Male,72.47,63.03,Math,Law,"Statistics, CSS, HTML, Photoshop, Communication, Voice Modulation, Singing",Photography Club,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
134,22,Female,91.32,60.84,Biology,Law,"Machine Learning, HTML, Statistics, Creativity, Voice Modulation, Photography",Coding Club,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
135,21,Male,70.6,79.57,Physics,Economics,"CSS, Sketching",Coding Club,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
136,22,Other,89.41,60.77,History,Medicine,"Java, Machine Learning, HTML, CAD, Rhythm, Photography",Science Fair,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1
137,23,Female,86.63,78.12,Math,Economics,"CSS, Machine Learning, Creativity, Photoshop, Dancing, Acting",Coding Club,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1
138,17,Male,65.18,83.55,Biology,Technology,"HTML, CSS, Communication, Public Speaking, Rhythm",Photo Walk,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
139,22,Female,76.99,70.8,Biology,Arts,"C++, Machine Learning, Statistics",Photo Walk,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
140,19,Female,75.7,73.38,Physics,Media,"Statistics, C++, CAD, Creativity, Public Speaking, Voice Modulation, Instrument",Media Club,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
141,18,Male,76.14,85.95,Biology,Psychology,"Python, Machine Learning, C++, Sketching, Photoshop, Public Speaking, Communication",Psych Club,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1
142,19,Female,90.86,63.15,Political Science,Economics,"Java, Photoshop, Public Speaking, Photography",Peer Counseling,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0
143,19,Other,96.33,54.57,Biology,Economics,"Machine Learning, Statistics, HTML, CAD, Sewing, Writing, Voice Modulation, Dancing",Photography Club,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1
144,18,Female,73.48,85.06,Computer Science,Media,"Statistics, Sewing, Creativity, Photography",Photo Walk,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
145,17,Male,77.81,70.53,Psychology,Medicine,"C++, Creativity, Sketching, Public Speaking, Writing, Instrument",Psych Club,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
146,25,Female,72.92,72.08,Psychology,Medicine,"CSS, Creativity, Sewing, Public Speaking, Voice Modulation",Media Club,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
147,17,Male,69.11,88.2,Math,Medicine,"CSS, Machine Learning, Python, Sewing, Public Speaking, Instrument",Peer Counseling,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
148,23,Female,78.57,69.69,Computer Science,Economics,"HTML, CAD, Communication, Photography",Newspaper,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0
149,19,Female,84.0,81.69,English,Law,"Statistics, Sewing, Writing, Communication",Coding Club,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
150,24,Male,83.13,85.56,History,Psychology,"Python, Voice Modulation, Acting, Instrument",Peer Counseling,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
151,19,Female,66.71,71.28,English,Technology,"CSS, HTML, Machine Learning, CAD",Psych Club,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
152,23,Other,82.47,85.32,Computer Science,Technology,"Python, Statistics, CAD, Voice Modulation, Communication, Singing, Dancing",Peer Counseling,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
153,23,Male,74.79,79.41,History,Law,"Python, HTML, Communication, Voice Modulation, Rhythm, Singing",Coding Club,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
154,23,Other,87.78,70.9,Computer Science,Media,Rhythm,Photography Club,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
155,22,Other,80.47,75.57,English,Arts,"CSS, Python, Machine Learning, Rhythm, Acting",Peer Counseling,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
156,25,Female,72.82,91.19,Psychology,Media,"CSS, C++, Public Speaking, Rhythm, Photography",Psych Club,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
157,25,Other,83.25,87.76,Computer Science,Medicine,"Sketching, Writing, Communication, Rhythm, Singing",Science Fair,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
158,24,Female,88.05,78.25,Political Science,Finance,"CSS, Sewing, CAD, Instrument, Singing",Science Fair,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
159,18,Male,81.82,74.28,Math,Psychology,"Java, HTML, Statistics, Sewing, Voice Modulation, Public Speaking, Singing, Instrument",Photo Walk,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
160,25,Male,78.24,76.44,English,Psychology,"Java, HTML, Sketching, Sewing, Public Speaking, Voice Modulation, Instrument",Coding Club,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
161,20,Female,75.97,85.14,History,Technology,"Machine Learning, Java, CAD, Sketching, Public Speaking, Dancing, Rhythm",Photography Club,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1
162,21,Male,66.82,103.11,Physics,Education,"C++, Writing, Acting",Photo Walk,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
163,21,Other,64.94,63.43,Computer Science,Technology,"CSS, Machine Learning, Creativity, Dancing, Photography",Peer Counseling,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
164,20,Male,86.58,87.5,Math,Media,"Python, Public Speaking, Acting, Singing",Peer Counseling,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
165,19,Male,81.24,85.54,Psychology,Education,"Machine Learning, Java, C++, Sketching, Writing, Voice Modulation, Photography, Instrument",Science Fair,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1
